image,true_label,pred_label,confidence,correct
normal_00011.png,NORMAL,NORMAL,1.0,True
normal_00015.png,NORMAL,NORMAL,1.0,True
normal_00017.png,NORMAL,NORMAL,1.0,True
normal_00019.png,NORMAL,NORMAL,1.0,True
normal_00020.png,NORMAL,NORMAL,1.0,True
normal_00021.png,NORMAL,NORMAL,1.0,True
normal_00023.png,NORMAL,NORMAL,1.0,True
normal_00027.png,NORMAL,NORMAL,1.0,True
normal_00028.png,NORMAL,NORMAL,1.0,True
normal_00030.png,NORMAL,NORMAL,1.0,True
normal_00031.png,NORMAL,NORMAL,1.0,True
normal_00032.png,NORMAL,NORMAL,1.0,True
normal_00034.png,NORMAL,NORMAL,1.0,True
normal_00035.png,NORMAL,NORMAL,1.0,True
normal_00036.png,NORMAL,NORMAL,1.0,True
normal_00038.png,NORMAL,NORMAL,1.0,True
normal_00039.png,NORMAL,NORMAL,1.0,True
normal_00042.png,NORMAL,NORMAL,1.0,True
normal_00044.png,NORMAL,NORMAL,1.0,True
normal_00045.png,NORMAL,NORMAL,1.0,True
normal_00047.png,NORMAL,NORMAL,1.0,True
normal_00051.png,NORMAL,NORMAL,1.0,True
normal_00054.png,NORMAL,NORMAL,1.0,True
normal_00057.png,NORMAL,NORMAL,1.0,True
normal_00058.png,NORMAL,NORMAL,1.0,True
normal_00064.png,NORMAL,NORMAL,1.0,True
normal_00065.png,NORMAL,NORMAL,1.0,True
normal_00067.png,NORMAL,NORMAL,1.0,True
normal_00068.png,NORMAL,NORMAL,0.9995,True
normal_00069.png,NORMAL,NORMAL,0.9994,True
normal_00074.png,NORMAL,NORMAL,1.0,True
normal_00077.png,NORMAL,NORMAL,1.0,True
normal_00079.png,NORMAL,NORMAL,1.0,True
normal_00080.png,NORMAL,NORMAL,1.0,True
normal_00081.png,NORMAL,NORMAL,1.0,True
normal_00085.png,NORMAL,NORMAL,1.0,True
normal_00086.png,NORMAL,NORMAL,1.0,True
normal_00090.png,NORMAL,NORMAL,1.0,True
normal_00091.png,NORMAL,TUBERCULOSIS,0.9887,False
normal_00092.png,NORMAL,NORMAL,1.0,True
normal_00098.png,NORMAL,NORMAL,1.0,True
normal_00099.png,NORMAL,NORMAL,1.0,True
normal_00102.png,NORMAL,NORMAL,1.0,True
normal_00104.png,NORMAL,NORMAL,0.9997,True
normal_00105.png,NORMAL,NORMAL,1.0,True
normal_00109.png,NORMAL,NORMAL,1.0,True
normal_00113.png,NORMAL,NORMAL,1.0,True
normal_00114.png,NORMAL,NORMAL,1.0,True
normal_00116.png,NORMAL,NORMAL,1.0,True
normal_00117.png,NORMAL,NORMAL,1.0,True
normal_00120.png,NORMAL,NORMAL,1.0,True
normal_00121.png,NORMAL,NORMAL,1.0,True
normal_00126.png,NORMAL,NORMAL,1.0,True
normal_00127.png,NORMAL,NORMAL,1.0,True
normal_00130.png,NORMAL,NORMAL,0.9999,True
normal_00133.png,NORMAL,TUBERCULOSIS,0.8066,False
normal_00139.png,NORMAL,NORMAL,1.0,True
normal_00140.png,NORMAL,NORMAL,0.9999,True
normal_00141.png,NORMAL,NORMAL,1.0,True
normal_00142.png,NORMAL,NORMAL,1.0,True
normal_00145.png,NORMAL,NORMAL,0.9998,True
normal_00146.png,NORMAL,NORMAL,1.0,True
normal_00148.png,NORMAL,NORMAL,1.0,True
normal_00150.png,NORMAL,NORMAL,1.0,True
normal_00154.png,NORMAL,NORMAL,1.0,True
normal_00155.png,NORMAL,NORMAL,1.0,True
normal_00156.png,NORMAL,NORMAL,1.0,True
normal_00157.png,NORMAL,NORMAL,1.0,True
normal_00161.png,NORMAL,NORMAL,1.0,True
normal_00168.png,NORMAL,NORMAL,1.0,True
normal_00172.png,NORMAL,NORMAL,1.0,True
normal_00173.png,NORMAL,NORMAL,1.0,True
normal_00175.png,NORMAL,NORMAL,1.0,True
normal_00176.png,NORMAL,NORMAL,1.0,True
normal_00177.png,NORMAL,NORMAL,1.0,True
normal_00178.png,NORMAL,NORMAL,1.0,True
normal_00180.png,NORMAL,TUBERCULOSIS,0.7939,False
normal_00185.png,NORMAL,NORMAL,0.9879,True
normal_00186.png,NORMAL,NORMAL,1.0,True
normal_00189.png,NORMAL,NORMAL,1.0,True
normal_00193.png,NORMAL,NORMAL,1.0,True
normal_00196.png,NORMAL,NORMAL,0.9986,True
normal_00201.png,NORMAL,NORMAL,1.0,True
normal_00203.png,NORMAL,NORMAL,1.0,True
normal_00208.png,NORMAL,NORMAL,0.9999,True
normal_00211.png,NORMAL,NORMAL,1.0,True
normal_00212.png,NORMAL,NORMAL,0.9907,True
normal_00214.png,NORMAL,NORMAL,1.0,True
normal_00221.png,NORMAL,NORMAL,0.9992,True
