ssim,class_1,file_name_1,file_path_1,class_2,file_name_2,file_path_2
0.9733966,normal,h1832.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h1832.png,normal,h3348.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h3348.png
1.0,sick,s0009.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0009.png,sick,s3576.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3576.png
1.0,sick,s0021.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0021.png,sick,s0740.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0740.png
1.0,sick,s0045.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0045.png,sick,s4496.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4496.png
1.0,sick,s0055.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0055.png,sick,s0480.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0480.png
1.0,sick,s0070.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0070.png,sick,s1016.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1016.png
1.0,sick,s0081.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0081.png,sick,s0398.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0398.png
1.0,sick,s0099.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0099.png,sick,s4529.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4529.png
1.0,sick,s0109.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0109.png,sick,s3378.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3378.png
1.0,sick,s0135.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0135.png,sick,s1765.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1765.png
0.99955034,sick,s0138.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0138.png,sick,s2287.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2287.png
0.9998322,sick,s0160.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0160.png,sick,s0632.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0632.png
1.0,sick,s0166.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0166.png,sick,s0215.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0215.png
1.0,sick,s0179.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0179.png,sick,s2760.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2760.png
0.9999461,sick,s0195.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0195.png,sick,s0759.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0759.png
1.0,sick,s0199.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0199.png,sick,s2193.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2193.png
1.0,sick,s0214.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0214.png,sick,s1066.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1066.png
0.99999344,sick,s0228.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0228.png,sick,s0707.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0707.png
1.0,sick,s0243.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0243.png,sick,s0278.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0278.png
0.9962704,sick,s0256.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0256.png,sick,s2194.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2194.png
1.0,sick,s0259.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0259.png,sick,s4003.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4003.png
1.0,sick,s0268.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0268.png,sick,s3270.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3270.png
1.0,sick,s0270.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0270.png,sick,s4019.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4019.png
0.9994223,sick,s0274.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0274.png,sick,s3255.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3255.png
1.0,sick,s0290.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0290.png,sick,s4856.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4856.png
1.0,sick,s0296.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0296.png,sick,s3741.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3741.png
1.0,sick,s0311.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0311.png,sick,s2953.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2953.png
1.0,sick,s0330.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0330.png,sick,s4015.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4015.png
0.99216455,sick,s0369.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0369.png,sick,s0715.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0715.png
1.0,sick,s0406.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0406.png,sick,s2415.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2415.png
1.0,sick,s0448.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0448.png,sick,s2542.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2542.png
1.0,sick,s0450.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0450.png,sick,s1770.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1770.png
1.0,sick,s0467.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0467.png,sick,s0935.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0935.png
0.9999984,sick,s0491.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0491.png,sick,s3479.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3479.png
1.0,sick,s0494.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0494.png,sick,s1450.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1450.png
1.0,sick,s0523.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0523.png,sick,s3098.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3098.png
1.0,sick,s0535.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0535.png,sick,s4245.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4245.png
1.0,sick,s0537.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0537.png,sick,s3446.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3446.png
1.0,sick,s0572.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0572.png,sick,s4574.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4574.png
0.9999922,sick,s0578.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0578.png,sick,s0990.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0990.png
1.0,sick,s0583.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0583.png,sick,s3878.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3878.png
1.0,sick,s0647.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0647.png,sick,s4415.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4415.png
1.0,sick,s0667.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0667.png,sick,s1421.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1421.png
1.0,sick,s0686.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0686.png,sick,s2349.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2349.png
1.0,sick,s0712.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0712.png,sick,s1779.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1779.png
1.0,sick,s0722.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0722.png,sick,s3834.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3834.png
1.0,sick,s0731.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0731.png,sick,s2856.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2856.png
1.0,sick,s0751.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0751.png,sick,s3886.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3886.png
1.0,sick,s0765.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0765.png,sick,s4621.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4621.png
1.0,sick,s0795.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0795.png,sick,s4596.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4596.png
1.0,sick,s0810.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0810.png,sick,s3624.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3624.png
1.0,sick,s0811.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0811.png,sick,s3291.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3291.png
1.0,sick,s0818.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0818.png,sick,s1267.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1267.png
1.0,sick,s0822.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0822.png,sick,s1337.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1337.png
0.99999267,sick,s0842.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0842.png,sick,s2752.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2752.png
1.0,sick,s0865.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0865.png,sick,s1987.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1987.png
1.0,sick,s0888.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0888.png,sick,s1102.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1102.png
0.98468626,sick,s0926.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0926.png,sick,s2154.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2154.png
0.9999868,sick,s0963.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0963.png,sick,s3794.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s3794.png
1.0,sick,s0981.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s0981.png,sick,s2254.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2254.png
1.0,sick,s1003.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1003.png,sick,s2164.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2164.png
1.0,sick,s1004.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1004.png,sick,s2904.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2904.png
1.0,sick,s1017.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1017.png,sick,s2610.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2610.png
1.0,sick,s1040.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1040.png,sick,s2068.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s2068.png
0.99944806,sick,s1046.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1046.png,sick,s4401.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4401.png
0.9999868,sick,s1122.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s1122.png,sick,s4974.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\sick\s4974.png
