distance,class_1,file_name_1,file_path_1,class_2,file_name_2,file_path_2
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h0055.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0055.png
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h0444.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0444.png
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h1354.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h1354.png
2,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h1597.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h1597.png
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h1705.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h1705.png
0,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h1781.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h1781.png
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h2068.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h2068.png
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h2145.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h2145.png
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h2172.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h2172.png
4,normal,h0001.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h0001.png,normal,h2397.png,G:\Ai-CDD\updated_class_tb_dataset\TBX11K\imgs\health\h2397.png
